Number,Country,Country ID (CCCCii),Old Country ID,WMO Code,WIGOS Station Identifier,ODIM code,Location,Opera Status,Latitude,Longitude,Height of station (m),Band,Doppler,Polarization,Max Range (km),Start Year,Height Antenna (m),diameterantenna,Beam,Gain (dB),Frequency (GHz),Available for Stratus (min),Available for Cirrus/Nimbus (min),WRWP (min)
1139,Germany,EDZW52,DL52,10440,,defld,Flechtdorf,1,51.3112,8.802,530,C,Y,D,180,2014,627.9,4.3,0.9,45,5.64,,,
1140,Germany,EDZW53,DL53,10356,,deumd,Ummendorf,1,52.1601,11.1761,159,C,Y,D,180,2014,185.2,4.3,0.9,44.5,5.64,,,
1142,Germany,EDZW62,DL62,10557,,deneu,Neuhaus,1,50.5001,11.1351,846,C,Y,D,180,2012,879.6,4.3,0.9,45,5.625,,,
1143,Germany,EDZW63,DL63,10488,,dedrs,Dresden,1,51.1246,13.7686,225,C,Y,D,180,2015,263.4,4.3,0.9,45,5.64,,,
1144,Germany,EDZW71,DL71,10605,,denhb,Neuheilenbach,1,50.1097,6.5483,552,C,Y,D,180,2014,585.8,4.3,0.9,45,5.625,,,
1145,Germany,EDZW72,DL72,10832,,detur,Tuerkheim,1,48.5853,9.7828,733,C,Y,D,180,2013,767.6,4.3,0.9,45,5.6,,,
1146,Germany,EDZW73,DL73,10780,,deeis,Eisberg,1,49.5407,12.4028,771,C,Y,D,180,2014,799.1,4.3,0.9,45,5.64,,,
1147,Germany,EDZW81,DL81,10908,,defbg,Feldberg,1,47.8736,8.0039,1495,C,Y,D,180,2013,1516.1,4.3,0.9,45,5.67,,,
1360,Germany,EDZW75,DL75,10873,,deisn,Isen/München,1,48.1747,12.1017,630,C,Y,D,180,2014,677.8,4.3,0.96,45,5.625,,,
1370,Germany,,,,,,MUC (EDDM),0,48.351,11.789,447,X,Y,D,100,2014,480.4,1.9,1.3,42.5,9.375,,,
1371,Germany,,,,,,FRA (EDDF),0,50.038,8.527,101.3,X,Y,D,100,2014,130,1.9,1.3,42.5,9.375,,,
1183,Greece,LGAT41,GR41,16821,,grymi,Ymittos,1,37.9461,23.8138,1025,C,Y,S,300,1978,1031,2.4,1.8,45,5.61,,,
1182,Greece,LGAT42,GR43,16648,,grlar,Larisa,1,39.6446,22.4603,80,S,Y,S,300,1980,105,4.3,2,37,2.708,,,
1181,Greece,LGAT43,GR44,16622,,grthe,Thessaloniki,1,40.5282,22.9757,5,S,Y,S,300,1983,30,4.3,2,37,2.816,,,
1180,Greece,LGAT44,GR42,16682,,grand,Andravida,1,37.9261,21.2894,12,C,Y,S,300,1979,39,2.4,1.8,40,5.618,,,
1315,Greece,LGAT45,GR45,16822,,graig,Aigina,0,37.4312,23.3,457,C,Y,D,300,2004,467,4.2,0.95,44.5,5.625,,,
1316,Greece,LGAT46,GR46,16823,,grakt,Aktio,1,38.9166,20.7528,3,C,Y,S,300,",",36,4.3,1,44,5.625,,,
1317,Greece,LGAT47,GR47,16824,,grxri,Xrisoupoli,0,40.9277,24.633,8,C,Y,D,300,2006,39,4.3,1,44,5.625,,,
1318,Greece,LGAT48,GR48,16825,,grast,Astypalaia,0,36.5993,26.4404,500,C,Y,S,300,2007,510,4.3,0.95,44,5.625,,,
1186,Hungary,HABP43,HU43,12892,0-348-2-63414,hunap,Napkor,1,47.96222,21.88667,,C,Y,D,240,2003,153,4.2,0.96,45.1,5.61,,,
1301,Hungary,HABP41,HU41,12921,0-348-2-27107,hupog,Poganyvar,1,46.66036,17.06244,,C,Y,D,240,2005,311,4.2,0.9,46.1,5.625,,,
1185,Hungary,HABP42,HU42,12843,0-348-2-44561,hubud,Budapest,1,47.4294,19.1817,,C,Y,D,240,1999,161,4.2,0.94,45.6,5.61,,,
1362,Hungary,HABP44,HU44,12985,0-348-2-57205,husze,Szentes,1,46.63967,20.4325,,C,Y,D,240,2014,124,4.2,0.95,44.9,5.45,,,
1401,Hungary,HABP45,HU45,12940,0-348-2-38221,huhar,Harmashegy,1,46.1775,18.3372,,C,Y,D,240,2021,627,4.2,0.97,44.5,5.635,,,
1189,Iceland,BIRK40,IL40,,0-352-6-iskef,iskef,Keflavik,1,64.0257,-22.6353,34,C,Y,D,240,1991,48,4.2,1.005,44.9,5.61,,,
1363,Iceland,BIRK41,IL41,,0-352-6-isegs,isegs,Fljotsdalsheidi,1,65.0279,-15.0382,693,C,Y,S,240,2012,698,4.3,1,44,5.52,,,
1365,Iceland,BIRK43,IL43,,0-352-6-isx1,isx1,Huginn - mobile,0,MOBILE,,,X,Y,D,120,2012,,1.9,1.25,42.4,9.375,,,
1393,Iceland,BIRK44,IL44,,0-352-6-isx2,isx2,Muninn - mobile,0,MOBILE,,,X,Y,D,120,2013,,1.9,1.25,42.4,9.355,,,
1407,Iceland,BIRK42,IL42,,0-352-6-isska,isska,Skagi,0,66.0557,-20.268,156,C,Y,D,240,2022,164,4.16,1.014,44.8,5.45,,,
1410,Iceland,BIRK45,IL45,,0-352-6-isbjo,isbjo,Bjolfur,0,65.2658,-14.0618,1083,C,Y,D,240,2023,1090,4.16,1.014,44.8,5.45,,,
1187,Ireland,EIDB40,IE40,3962,,iesha,Shannon,1,52.6928,-8.9201,20,C,Y,S,250,1996,30,4.2,0.9,43,5.64,,,
1188,Ireland,EIDB41,IE41,3969,,iedub,Dublin,1,53.4299,-6.2443,85,C,Y,S,250,1991,99,4.2,0.9,45,5.64,,,
1397,Israel,LLBD40,,40179,,iltlv,Bet Dagan,1,32.007,34.8146,30,C,Y,S,280,1996,47,4.3,1,44,5.61,,,
1327,Latvia,EVRR40,LVaa,26422,,lvrix,Riga,1,56.9143,23.9897,5,C,Y,S,250,2006,43.5,4.2,0.95,45,5.66,,,
1366,Malta,LMML40,MT40,16597,,mtgud,Gudja,1,35.8529,14.4748,96,X,N,S,200,2013,100,1.2,1.8,40,9.41,,,
1381,Republic of Moldova,LUKK41,MD41,33815,,mdchs,Chisinau,1,46.9557,28.5703,31,C,Y,D,240,2013,,,,55.4,5.25,,,
1206,Netherlands,EHDB50,NL50,6260,,nldbl,De Bilt,0,52.1017,5.1783,39,C,Y,S,320,1981,44,4.2,1,43,5.647,,,
1207,Netherlands,EHDB51,NL51,6234,,nldhl,Den Helder,1,52.9528,4.79061,52,C,Y,D,320,2016,55,4.2,0.92,45,5.625,,,
1385,Netherlands,EHDB52,NL52,6356,,nlhrw,Herwijnen,1,51.8371,5.138,1,C,Y,D,320,2016,25,4.2,0.905,45,5.633,,,
1286,Norway,ENMI33,NO33,1405,,nobml,Boemlo,1,59.854,5.09,95,C,Y,S,240,2002,102,4.2,1,44.4,5.64,,,
1300,Norway,ENMI35,NO35,1104,,norst,Rost,1,67.5307,12.0986,2.5,C,Y,S,240,2004,17,4.2,1,44.4,5.64,,,
1320,Norway,ENMI36,NO36,1018,,noand,Andoya,1,69.2414,16.0028,433,C,Y,S,240,2007,441,4.2,1,44.4,5.62,,,
1324,Norway,ENMI37,NO37,1042,,nohas,Hasvik,1,70.6052,22.443,437,C,Y,S,240,2008,444,4.2,1,44.4,5.64,,,
1348,Norway,ENMI38,NO38,1206,,nosta,Stad,1,62.1871,5.1275,496,C,Y,S,240,2009,506,4.2,1,44.4,5.62,,,
